X_id,name,genre,id_artist,title,publicationDate,deezerFans,country,dateRelease,language,Artist_name
5714debb25ac0d8aee35a2b6,Dogão,Hip Hop,56d821d353a7ddfc01f93ca9,Dogão É Mau,2005,123,unknown,unknown,unknown,Dogão
5714debb25ac0d8aee359999,Die Firma,Hip Hop,56d81f7c53a7ddfc01f938fb,Spiel Des Lebens / Spiel Des Todes,1998,250,DE,1998-04-03,deu,Die Firma
5714debb25ac0d8aee35999a,Die Firma,Hip Hop,56d81f7c53a7ddfc01f938fb,Das Zweite Kapitel,1999,186,DE,1999-10-04,deu,Die Firma
5714debb25ac0d8aee35999b,Die Firma,Hip Hop,56d81f7c53a7ddfc01f938fb,Das Dritte Auge,2002,112,DE,2002-02-04,deu,Die Firma
5714debb25ac0d8aee35999c,Die Firma,Hip Hop,56d81f7c53a7ddfc01f938fb,Krieg Und Frieden,2005,10,DE,2005-04-04,deu,Die Firma
5714debb25ac0d8aee35999d,Die Firma,Hip Hop,56d81f7c53a7ddfc01f938fb,Goldene Zeiten,2007,unknown,DE,2007-08-03,deu,Die Firma
5714debb25ac0d8aee35999e,Die Firma,Hip Hop,56d81f7c53a7ddfc01f938fb,Das Sechste Kapitel,2010,unknown,DE,2010-05-28,deu,Die Firma
5714debb25ac0d8aee35909f,Def Bond,Hip Hop,56d81d6a53a7ddfc01f935ef,Le Thème...,1999,636,unknown,1999,unknown,Def Bond
5714debb25ac0d8aee3590a0,Def Bond,Hip Hop,56d81d6a53a7ddfc01f935ef,Def,2003,509,unknown,2003-06,unknown,Def Bond
5714debb25ac0d8aee3590a7,Def Squad,Hip Hop,56d81d7153a7ddfc01f935f5,El Niño,1998,1239,US,1998-06-30,eng,Def Squad
5714debb25ac0d8aee3590d3,Defari,Hip Hop,56d81d7653a7ddfc01f935fd,Focused Daily,1999,3,US,1999-02-09,eng,Defari
5714debb25ac0d8aee3590d4,Defari,Hip Hop,56d81d7653a7ddfc01f935fd,Odds & Evens,2003,234,US,2003-07-29,eng,Defari
5714debb25ac0d8aee3590d5,Defari,Hip Hop,56d81d7653a7ddfc01f935fd,Street Music,2006,5,CA,2006-10-16,eng,Defari
5714debb25ac0d8aee35a340,Dom!no,Hip Hop,56d821fc53a7ddfc01f93cd3,Моя Музыка Гипноз,2008,unknown,unknown,2008,rus,Dom!no
5714debb25ac0d8aee35a341,Dom!no,Hip Hop,56d821fc53a7ddfc01f93cd3,Спальный Hollywood,2009,unknown,unknown,2009,unknown,Dom!no
5714debb25ac0d8aee35a342,Dom!no,Hip Hop,56d821fc53a7ddfc01f93cd3,Trюk,2011,unknown,unknown,2011-07-01,unknown,Dom!no
5714debb25ac0d8aee35a343,Dom!no,Hip Hop,56d821fc53a7ddfc01f93cd3,Неизданное,2011,unknown,unknown,2011-07-20,unknown,Dom!no
5714debb25ac0d8aee35a345,Dom!no,Hip Hop,56d821fc53a7ddfc01f93cd3,Dominowood,2009,unknown,unknown,unknown,unknown,Dom!no
5714debb25ac0d8aee35a34e,Dom Kennedy,Hip Hop,56d821fc53a7ddfc01f93cd5,"From The Westside With Love, II",2011,unknown,unknown,unknown,unknown,Dom Kennedy
5714debb25ac0d8aee35a34f,Dom Kennedy,Hip Hop,56d821fc53a7ddfc01f93cd5,Get Home Safely,2013,555,unknown,unknown,unknown,Dom Kennedy
5714debb25ac0d8aee359b81,Digable Planets,Hip Hop,56d81fe753a7ddfc01f93984,Reachin' (A New Refutation Of Time And Space),1993,1896,unknown,1993-09-27,unknown,Digable Planets
5714debb25ac0d8aee359b82,Digable Planets,Hip Hop,56d81fe753a7ddfc01f93984,Blowout Comb,1994,1735,unknown,1994-10-05,unknown,Digable Planets
5714debb25ac0d8aee359bed,Dilated Peoples,Hip Hop,56d81ffc53a7ddfc01f939ab,The Platform,2000,2571,GB,2000-05-20,eng,Dilated Peoples
5714debb25ac0d8aee359bee,Dilated Peoples,Hip Hop,56d81ffc53a7ddfc01f939ab,Expansion Team,2001,3798,US,2001-10-23,eng,Dilated Peoples
5714debb25ac0d8aee359bef,Dilated Peoples,Hip Hop,56d81ffc53a7ddfc01f939ab,Neighborhood Watch,2004,1901,GB,2004,eng,Dilated Peoples
5714debb25ac0d8aee359bf1,Dilated Peoples,Hip Hop,56d81ffc53a7ddfc01f939ab,20/20,2006,3097,DE,2006-04-27,eng,Dilated Peoples
5714debb25ac0d8aee359bf2,Dilated Peoples,Hip Hop,56d81ffc53a7ddfc01f939ab,Directors Of Photography,2014,247,unknown,2014-08-12,unknown,Dilated Peoples
5714debb25ac0d8aee35a3e7,Domino,Hip Hop,56d8222d53a7ddfc01f93cfb,Domino,1993,unknown,US,1993-12-07,eng,Domino
5714debb25ac0d8aee35a407,Domo Genesis,Hip Hop,56d8223253a7ddfc01f93d05,Rolling Papers,2010,6205,unknown,2010-08-30,eng,Domo Genesis
5714debb25ac0d8aee35a43f,Don Choa,French Hip Hop,56d8223e53a7ddfc01f93d21,Vapeurs Toxiques,2002,2509,unknown,unknown,unknown,Don Choa
5714debb25ac0d8aee35a440,Don Choa,French Hip Hop,56d8223e53a7ddfc01f93d21,Jungle De Béton,2007,10917,unknown,2007-10-22,unknown,Don Choa
5714debb25ac0d8aee35a491,Don Johnson Big Band,Hip Hop,56d8225253a7ddfc01f93d3c,Support De Microphones,2000,unknown,FI,2000-04-01,eng,Don Johnson Big Band
5714debb25ac0d8aee35a492,Don Johnson Big Band,Hip Hop,56d8225253a7ddfc01f93d3c,Breaking Daylight,2003,62,FI,2003-05-12,eng,Don Johnson Big Band
5714debb25ac0d8aee35a493,Don Johnson Big Band,Hip Hop,56d8225253a7ddfc01f93d3c,Don Johnson Big Band,2006,21,FI,2006-04-19,eng,Don Johnson Big Band
5714debb25ac0d8aee35a494,Don Johnson Big Band,Hip Hop,56d8225253a7ddfc01f93d3c,Records Are Forever,2009,37,FI,2009-05-06,eng,Don Johnson Big Band
5714debb25ac0d8aee35a539,Donald D,Gangsta Rap,56d8227553a7ddfc01f93d6a,Notorious,1989,16,unknown,unknown,unknown,Donald D
5714debb25ac0d8aee35a54c,Donatan,Hip Hop,56d8227953a7ddfc01f93d75,Równonoc. Słowiańska Dusza,2012,3334,unknown,2012-10-26,unknown,Donatan
5714debb25ac0d8aee35a551,Dondria,R&amp;B,56d8227c53a7ddfc01f93d7a,Dondria Vs. Phatfffat,2010,366,unknown,unknown,unknown,Dondria
5714debb25ac0d8aee35a56a,DonGURALesko,Hip Hop,56d8228353a7ddfc01f93d86,Opowieści Z Betonowego Lasu,2002,1254,unknown,unknown,unknown,DonGURALesko
5714debb25ac0d8aee35a56b,DonGURALesko,Hip Hop,56d8228353a7ddfc01f93d86,Drewnianej Małpy Rock,2005,978,unknown,unknown,unknown,DonGURALesko
5714debb25ac0d8aee35a56c,DonGURALesko,Hip Hop,56d8228353a7ddfc01f93d86,El Polako,2008,1652,unknown,unknown,unknown,DonGURALesko
5714debb25ac0d8aee35a56d,DonGURALesko,Hip Hop,56d8228353a7ddfc01f93d86,Inwazja Porywaczy Ciał,2009,743,unknown,unknown,unknown,DonGURALesko
5714debb25ac0d8aee35a56e,DonGURALesko,Hip Hop,56d8228353a7ddfc01f93d86,Totem Leśnych Ludzi,2010,1119,unknown,2010-06-11,unknown,DonGURALesko
5714debb25ac0d8aee35a56f,DonGURALesko,Hip Hop,56d8228353a7ddfc01f93d86,Zaklinacz Deszczu,2011,968,unknown,unknown,unknown,DonGURALesko
5714debb25ac0d8aee35a570,DonGURALesko,Hip Hop,56d8228353a7ddfc01f93d86,Projekt Jeden Z Życia Moment,2012,2917,unknown,unknown,unknown,DonGURALesko
5714debb25ac0d8aee35a587,Donna Allen,R&amp;B,56d8228553a7ddfc01f93d8b,Perfect Timing,1986,21,unknown,unknown,unknown,Donna Allen
5714debb25ac0d8aee35a58d,Donell Jones,R&amp;B,56d8228753a7ddfc01f93d90,My Heart,1996,3132,unknown,unknown,unknown,Donell Jones
5714debb25ac0d8aee35a58e,Donell Jones,R&amp;B,56d8228753a7ddfc01f93d90,Where I Wanna Be,1999,7314,unknown,unknown,unknown,Donell Jones
5714debb25ac0d8aee35a58f,Donell Jones,R&amp;B,56d8228753a7ddfc01f93d90,Life Goes On,2002,4534,unknown,unknown,unknown,Donell Jones
5714debb25ac0d8aee35a590,Donell Jones,R&amp;B,56d8228753a7ddfc01f93d90,Journey Of A Gemini,2006,729,unknown,unknown,unknown,Donell Jones
5714debb25ac0d8aee35a591,Donell Jones,R&amp;B,56d8228753a7ddfc01f93d90,The Lost Files,2009,1348,unknown,unknown,unknown,Donell Jones
5714debb25ac0d8aee35a592,Donell Jones,R&amp;B,56d8228753a7ddfc01f93d90,Lyrics,2010,145,unknown,unknown,unknown,Donell Jones
5714debb25ac0d8aee35a593,Donell Jones,R&amp;B,56d8228753a7ddfc01f93d90,Forever,2013,4395,unknown,unknown,unknown,Donell Jones
5714debb25ac0d8aee35a5bb,Donna Summer,R&amp;B,56d8229053a7ddfc01f93d9e,Donna Summer,1982,222,unknown,unknown,unknown,Donna Summer
5714debb25ac0d8aee35a5c4,Donna Summer,R&amp;B,56d8229053a7ddfc01f93d9e,I'm A Rainbow,1996,165,unknown,unknown,unknown,Donna Summer
5714debb25ac0d8aee35a5dc,Donnie Klang,R&amp;B,56d822b253a7ddfc01f93da7,Just A Rolling Stone,2008,8,unknown,2008-08-26,unknown,Donnie Klang
5714debb25ac0d8aee35a655,Doomtree,Hip Hop,56d822cc53a7ddfc01f93dcf,False Hopes,2007,85,US,2007-12-14,eng,Doomtree
5714debb25ac0d8aee35a656,Doomtree,Hip Hop,56d822cc53a7ddfc01f93dcf,Doomtree,2008,80,US,2008-07-29,eng,Doomtree
5714debb25ac0d8aee35a657,Doomtree,Hip Hop,56d822cc53a7ddfc01f93dcf,False Hopes 13,2008,unknown,unknown,unknown,unknown,Doomtree
5714debb25ac0d8aee35a658,Doomtree,Hip Hop,56d822cc53a7ddfc01f93dcf,No Kings,2011,232,US,2011-11-22,eng,Doomtree
5714debb25ac0d8aee35a67f,Doppelkopf,Hip Hop,56d822d453a7ddfc01f93ddd,Vom Mond,1997,unknown,DE,1997-10-10,deu,Doppelkopf
5714debb25ac0d8aee35a680,Doppelkopf,Hip Hop,56d822d453a7ddfc01f93ddd,Von Abseits,1999,240,DE,1999-05-06,deu,Doppelkopf
5714debb25ac0d8aee35a70b,Dorrough,Hip Hop,56d822ef53a7ddfc01f93e09,Dorrough Music,2009,118,unknown,unknown,unknown,Dorrough
5714debb25ac0d8aee35a786,Doug E. Fresh,Hip Hop,56d8230653a7ddfc01f93e40,The World's Greatest Entertainer,1988,195,unknown,1988,unknown,Doug E. Fresh
5714debb25ac0d8aee35a81a,Down Low,Hip Hop,56d8233853a7ddfc01f93e70,Visions,1996,110,unknown,1996,eng,Down Low
5714debb25ac0d8aee35a81b,Down Low,Hip Hop,56d8233853a7ddfc01f93e70,It Ain't Over,1997,140,unknown,unknown,eng,Down Low
5714debb25ac0d8aee35a81c,Down Low,Hip Hop,56d8233853a7ddfc01f93e70,Third Dimension,1998,63,unknown,1998,eng,Down Low
5714debb25ac0d8aee35a81d,Down Low,Hip Hop,56d8233853a7ddfc01f93e70,The 4th Level,2001,61,unknown,2001,unknown,Down Low
5714debb25ac0d8aee35a854,Downset,Rap Metal,56d8234153a7ddfc01f93e88,Downset,1994,1342,unknown,unknown,unknown,Downset
5714debb25ac0d8aee35a855,Downset,Rap Metal,56d8234153a7ddfc01f93e88,Do We Speak A Dead Language?,1996,1105,US,1996-09-03,eng,Downset
5714debb25ac0d8aee35a856,Downset,Rap Metal,56d8234153a7ddfc01f93e88,Check Your People,2000,998,unknown,unknown,unknown,Downset
5714debb25ac0d8aee35a857,Downset,Rap Metal,56d8234153a7ddfc01f93e88,Universal,2004,unknown,unknown,unknown,unknown,Downset
5714debb25ac0d8aee35b058,Eazy-E,Gangsta Rap,56d8253e53a7ddfc01f941a3,Eazy-Duz-It,1988,1728,US,1988-09-16,eng,Eazy-E
5714debb25ac0d8aee35b059,Eazy-E,West Coast Hip Hop,56d8253e53a7ddfc01f941a3,5150: Home 4 Tha Sick EP,1992,7077,US,1992-12-10,eng,Eazy-E
5714debb25ac0d8aee35b05a,Eazy-E,Gangsta Rap,56d8253e53a7ddfc01f941a3,It's On (Dr. Dre) 187um Killa,1993,1049,unknown,1993-10-19,unknown,Eazy-E
5714debb25ac0d8aee35b05b,Eazy-E,Gangsta Rap,56d8253e53a7ddfc01f941a3,Str8 Off Tha Streets Of Muthaphuckkin Compton,1995,186,unknown,1995-11-24,unknown,Eazy-E
5714debb25ac0d8aee35b05c,Eazy-E,West Coast Hip Hop,56d8253e53a7ddfc01f941a3,Eternal E,1995,unknown,US,1995,eng,Eazy-E
5714debb25ac0d8aee35b05d,Eazy-E,Gangsta Rap,56d8253e53a7ddfc01f941a3,Impact Of A Legend,2002,1583,US,2002-03-26,eng,Eazy-E
5714debb25ac0d8aee35a85d,Downtown Science,Hip Hop,56d8234353a7ddfc01f93e8d,Downtown Science,1991,9,unknown,1991,unknown,Downtown Science
5714debb25ac0d8aee35a8b6,Dr. Dooom,Hardcore Hip Hop,56d8235553a7ddfc01f93eac,"First Come, First Served",1999,105,unknown,1999-04-27,unknown,Dr. Dooom
5714debb25ac0d8aee35a8b7,Dr. Dooom,Hardcore Hip Hop,56d8235553a7ddfc01f93eac,Dr. Dooom 2,2008,41,unknown,unknown,unknown,Dr. Dooom
5714debb25ac0d8aee35a8b9,Dr. Dre,Hip Hop,56d8235a53a7ddfc01f93eae,The Chronic,1992,4547,US,1992-12-15,eng,Dr. Dre
5714debb25ac0d8aee35a8bb,Dr. Dre,Hip Hop,56d8235a53a7ddfc01f93eae,The Aftermath,1996,1346,unknown,unknown,unknown,Dr. Dre
5714debb25ac0d8aee35a8bc,Dr. Dre,West Coast Hip Hop,56d8235a53a7ddfc01f93eae,2001,1999,180789,US,1999-11-16,eng,Dr. Dre
5714debb25ac0d8aee35a8bd,Dr. Dre,Hip Hop,56d8235a53a7ddfc01f93eae,Compton,2015,10794,unknown,unknown,unknown,Dr. Dre
5714debb25ac0d8aee35a912,Dr. Octagon,Hip Hop,56d8236d53a7ddfc01f93ebe,Dr. Octagonecologyst,1996,unknown,US,1996,eng,Dr. Octagon
5714debb25ac0d8aee35a959,Drag-On,Hip Hop,56d8237f53a7ddfc01f93ed7,Opposite Of H2O,2000,220,unknown,unknown,unknown,Drag-On
5714debb25ac0d8aee35a95a,Drag-On,Hip Hop,56d8237f53a7ddfc01f93ed7,Hell And Back,2004,161,unknown,2004-02-10,eng,Drag-On
5714debb25ac0d8aee35a99b,Drake,Hip Hop,56d8239053a7ddfc01f93eef,Room For Improvement,2006,68,XW,2006,eng,Drake
5714debb25ac0d8aee35a99c,Drake,Hip Hop,56d8239053a7ddfc01f93eef,Comeback Season,2007,1021,XW,2007,eng,Drake
5714debb25ac0d8aee35a99e,Drake,Hip Hop,56d8239053a7ddfc01f93eef,So Far Gone,2009,29454,US,2009-02-13,eng,Drake
5714debb25ac0d8aee35a99f,Drake,Hip Hop,56d8239053a7ddfc01f93eef,Young Sweet Jones,2010,91134,unknown,unknown,unknown,Drake
